,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,,"[80, 18]",243472,pt,Escola Penal de Meninas Violentadas,"Young female delinquents are sent to a correctional facility run by a lesbian, depraved nun.",0.635,/7WAQ68OvO57tJhPdAbxIYWlf78N.jpg,1977-12-18,Escola Penal de Meninas Violentadas,False,10.0,1
1,False,,[],228140,en,Stepping Out,A couple's untraditional early morning ritual is observed in a short drama which originally supported Polanski's The Tenant in UK cinemas.,0.6,/bIwiQVg9eNQm16LOBI24epOpYxN.jpg,1977-01-09,Stepping Out,False,10.0,2
2,False,,[],210915,hi,दूसरा आदमी,"Nisha (Raakhee), an accomplished architect is a reclusive after the tragic death of her boyfriend, Shashi Saigal (Shashi Kapoor). This is when Karan Saxena (Rishi Kapoor) offers her employment with his advertising agency, she accepts. Though only she knows that Karan, newly married with Timsi (Neetu Singh) resembles Shashi a lot, and she will do anything in her power to get him.",0.87,/rezalPGWvfGTHIsYBubuFGWHQ6p.jpg,1977-09-14,Doosara Aadmi,False,10.0,1
3,False,,[28],205524,ko,최후의 정무문,"Dae-dong is the newly appointed leader of the Jung-mu Martial Arts Hall. He is challenged by the Japanese and is killed. The Jung-mu Hall is almost at the point of ruin. The teachers of Jung-mu Hall go searching for the master Keum-san of Chosun, the great Taekwondo fighter. Keum-san was the Korean teacher of the deceased Dae-dong and a highly respected warrior. When Keum-san's disciple, Chung, hears the sad tidings of Dae-dong's death, his only friend, he goes to China with the Jung-mu masters to hold his funeral. During Dae-dong's funeral, Chung receives a challenge from the treacherous Japanese man, Kuromasa. Chung kills Kuromasa and returns to Chosun but he discovers his wife and master Keum-san murdered. Stunned, Chung destroys them all and leaves for somewhere desolately carrying his young child.",0.678,/6xgYKD94JsTpZSBe5PLr6AZLkuF.jpg,1977-01-13,The Last Fist of Fury,False,10.0,1
4,False,,"[10751, 16]",198732,ru,Незнайка в Солнечном городе,,0.6,/qKSgrX04DbQxNeRI4i4CDQ35jVK.jpg,1977-01-31,Незнайка в Солнечном городе,False,10.0,1
5,False,/6Z5skthMtFvAwgz2Q5vW9JrCTRD.jpg,"[16, 10751]",186866,en,Martin the Cobbler,"A poor cobbler has a dream in which he hears the Lord promise to visit him. Instead poor people in need of food, clothing, warmth, and understanding come to him. In the end he understands that this is how the Lord visits men today.",0.95,/gInMeOCJAZhSBraYz413ihIhCLr.jpg,1977-06-01,Martin the Cobbler,False,10.0,2
6,False,/nVWj7kd4JK470faqX0osl3XCXWr.jpg,[],176600,da,Nyt legetøj,,0.62,/bdNPqz1AcHKw110FyJpzKYP9UnG.jpg,1977-05-10,Nyt legetøj,False,10.0,1
7,False,,[],112637,pt,Sitio do Picapau Amarelo Reinacoes de Narizinho,,0.6,/9cqhB5X03ceuLm9aTfL2V1JTyS.jpg,1977-01-01,Sitio do Picapau Amarelo Reinacoes de Narizinho,False,10.0,1
8,False,,[35],110705,en,"Stand up, Virgin Soldiers",Some British soldiers in Singapore are more concerned with finding sex than finding Communists.,0.988,/vwMDqUiHdRHT7nDI3h8Sjxs7AEQ.jpg,1977-04-04,"Stand up, Virgin Soldiers",False,10.0,1
9,False,,"[18, 80]",103275,pt,"Snuff, Vítimas do Prazer","After producing a successful underground snuff movie, were the lead actress is raped and killed, the Brazilian Miguel returns to São Paulo pretending to be the American director Michael Tracey and convinces his partner Bob Channing to cast and hire a crew to produce another movie. With attractive salaries, they hire the broken cinema technician Edson Lima and his assistant Juarez. Together, they cast the stripper and hooker Lia de Souza; the decadent and former famous actress Taty Ibanez; the aspirant actress Glória Verdi; the candidate of Miss Contest, the Miss São Paulo Maria Rosa; and an actor interned in a mental institution, Sérgio Bandeira. The group believes that they are going to secretly shoot porn, and moves to the small town of Limeira. When Bob falls in love for Lia, he tries to convince Michael to forget the snuff and avoid her death. But Michael is reluctant and does not want to give up his project. Written by Claudio Carvalho, Rio de Janeiro, Brazil",0.886,/4vYMb5tCHOVzJBZ5pIa5gPORzBX.jpg,1977-05-02,"Snuff, Victims of Pleasure",False,10.0,1
10,False,,[],75269,en,Wombling Free,This was a film version of the popular childrens TV show.,0.6,/1lvVlOqUQNEaQyNxgS8q3pKOT0w.jpg,1977-12-31,Wombling Free,False,10.0,1
11,False,/uz0Dih71szNyO3zagSsubr8bMgL.jpg,[],69548,de,Viechereien,"Alma Krause is the proud owner of a thoroughbred French bully. Even otherwise, she nurses and harbors several two- and four-legged friends in her apartment - just as one would expect from a veterinarian's widow. Her nephew Heinz, on the other hand, is kind of beaten. Not as for the love of animals, that would fit badly to a nascent vet, but for a small animal practice, as the blessed uncle operated, he seems to have no ambitions. A future as a ""Bazillenscheuche"" in the cowshed would like to spare him again Aunt Alma. And she takes her appropriate action.",1.4,/3LJMVWb6IFvO8dRZ7cFW2R2J2Q7.jpg,1977-05-30,Viechereien,False,10.0,1
12,False,/fJezTheV7kray2ewrjmD4J3ONwV.jpg,"[10402, 36]",64054,en,Dead Boys: Live at CBGB,"This 1977 performance from New York's legendary CBGB's proves why The Dead Boys were the epitome of snotty punk rock. Characterized by Stiv Bator's audience provoking on-stage antics, along with the band's aggressive power chord punch, the Dead Boys have big balls.",1.74,/kp5EWnPw4Fh0l0u1dOKQ3j7Uho2.jpg,1977-05-06,Dead Boys: Live at CBGB,False,10.0,1
13,False,/oPjU9ScZvCxqRNltKhIsGsFzIDB.jpg,"[28, 16, 12, 878, 18, 10749]",48101,ja,宇宙戦艦ヤマト,"When vile aliens known as the Gamilons wreak nuclear havoc on Earth, a group of survivors refit the Japanese battleship Yamato for intergalactic travel and set off on a mission to retrieve a neutralizer that will eradicate the radiation from Earth's atmosphere.",1.094,/tM0TKgFPdsFRaEMOxnfAwvG1114.jpg,1977-08-06,Space Battleship Yamato,False,10.0,1
14,False,,[35],5935,de,Komödienstadel -St. Pauli in St. Peter,No overview found.,0.6,,1977-09-15,Komödienstadel -St. Pauli in St. Peter,False,10.0,1
15,False,,[18],2398,fr,Les Anneaux de Bicêtre,No overview found.,0.62,/gsHWVFYzA3y4GUuyiAjCpsgvqtW.jpg,1977-01-05,Les Anneaux de Bicêtre,False,10.0,1
16,False,,[],492592,tr,Hakanlar Çarpışıyor,,0.6,/2JdpElwKxE6d2bExwNnMU1pJ3ix.jpg,1977-01-01,Hakanlar Çarpışıyor,False,9.5,1
17,False,/1xdgzx4NZZ1SyXuttNss01uJVOg.jpg,[35],398968,ro,O scrisoare pierduta,"The plot take place in 1883 in a small provincial town in Romania, where the corrupt establishment decide everything, including - of course - who will be the ""elected"" representative to the national Senate. A love letter from the bachelor mayor to the wife of the local party chief, gets lost and found by a drunk party supporter. The letter finds its way to the opposition party, which decide to use the letter by blackmailing the powerful local ""camarilla"", and to get his own man to represent the county. What follows is not easy to guess...",0.6,/p7dpt2m3jYAwMNZCTQolwLV66Yd.jpg,1977-06-07,A Lost Letter,False,9.5,2
